"id_tiempo","id_fecha","id_estado_cielo","temperatura","sensacion_termica","racha_max","precipitacion","nieve","humedad_relativa","probabilidad_de_nieve","probabilidad_de_tormenta","direccion_viento","velocidad_del_viento","id_municipio"
1,1,1,21,21,25.0,0.0,0,69,0,75,S,7,1
2,2,1,24,24,29.0,0.0,0,57,0,75,SE,12,1
3,3,2,23,23,33.0,0.0,0,59,0,80,S,14,1
4,4,1,23,23,35.0,0.0,0,55,0,80,S,17,1
5,5,1,21,21,34.0,0.0,0,65,0,80,S,20,1
6,6,3,21,21,35.0,0.1,0,59,0,80,S,17,1
7,7,4,20,20,19.0,0.0,0,65,0,80,S,20,1
8,8,4,19,19,27.0,0.0,0,60,0,80,S,9,1
9,9,4,19,19,7.0,0.0,0,46,0,45,S,11,1
10,10,1,18,18,9.0,0.0,0,52,0,45,NE,4,1
11,11,1,17,17,10.0,0.0,0,58,0,45,NO,5,1
12,12,5,16,16,9.0,0.0,0,65,0,45,NO,7,1
13,13,6,15,15,6.0,0.0,0,70,0,45,NO,4,1
14,14,7,15,15,13.0,0.1,0,75,0,45,S,4,1
15,15,1,14,14,13.0,0.0,0,90,0,15,N,6,1
16,16,5,14,14,13.0,0.0,0,100,0,15,N,8,1
17,17,6,14,14,9.0,0.0,0,100,0,15,N,8,1
18,18,8,13,13,6.0,0.0,0,100,0,15,N,5,1
19,19,8,13,13,6.0,0.0,0,100,0,15,N,4,1
20,20,2,13,13,6.0,0.0,0,100,0,15,NE,4,1
21,21,6,12,12,8.0,0.0,0,100,0,70,N,2,1
22,22,6,15,15,17.0,0.0,0,100,0,70,NO,5,1
23,23,8,17,17,22.0,0.0,0,90,0,70,SE,7,1
24,24,9,19,19,35.0,1.0,0,77,0,70,S,11,1
25,25,10,21,21,30.0,20.0,0,74,0,70,SE,16,1
26,26,10,23,23,14.0,3.0,0,59,0,70,E,10,1
27,27,7,24,24,15.0,0.1,0,47,0,70,NO,9,1
28,28,1,25,25,16.0,0.0,0,44,0,70,SO,7,1
29,29,1,25,25,11.0,0.0,0,50,0,70,SE,8,1
30,30,6,26,26,13.0,0.0,0,47,0,70,S,5,1
31,31,6,25,25,18.0,0.0,0,49,0,70,SE,6,1
32,32,1,24,24,12.0,0.0,0,48,0,70,S,10,1
33,33,4,24,24,5.0,0.0,0,58,0,20,S,6,1
34,34,6,21,21,5.0,0.0,0,69,0,20,NO,3,1
35,35,6,19,19,6.0,0.0,0,77,0,20,NO,3,1
36,36,6,16,16,6.0,0.0,0,88,0,20,N,4,1
37,37,2,16,16,5.0,0.0,0,88,0,20,O,3,1
38,38,4,16,16,7.0,0.0,0,92,0,20,O,2,1
39,39,5,16,16,3.0,0.0,0,96,0,0,SO,3,1
40,40,4,15,15,5.0,0.0,0,96,0,0,C,0,1
41,41,6,14,14,3.0,0.0,0,98,0,0,E,3,1
42,42,6,14,14,9.0,0.0,0,97,0,0,NO,1,1
43,43,4,14,14,13.0,0.0,0,93,0,0,NO,6,1
44,44,1,13,13,10.0,0.0,0,97,0,0,NO,7,1
45,1,3,24,24,15.0,0.1,0,64,0,70,E,8,2
46,2,3,26,26,18.0,0.1,0,57,0,70,E,7,2
47,3,1,27,27,18.0,0.0,0,51,0,75,E,8,2
48,4,2,28,28,21.0,0.0,0,44,0,75,S,7,2
49,5,1,27,27,40.0,0.0,0,46,0,75,SO,11,2
50,6,8,25,25,14.0,0.0,0,49,0,75,S,25,2
51,7,3,26,26,65.0,0.1,0,49,0,75,SO,4,2
52,8,11,24,24,18.0,0.3,0,48,0,75,O,41,2
53,9,1,22,22,18.0,0.0,0,54,0,65,NE,13,2
54,10,1,21,21,23.0,0.0,0,68,0,65,NE,11,2
55,11,9,20,20,17.0,1.0,0,85,0,65,E,9,2
56,12,12,20,20,24.0,7.0,0,92,0,65,E,5,2
57,13,7,19,19,15.0,0.8,0,86,0,65,N,17,2
58,14,5,19,19,18.0,0.0,0,93,0,65,E,9,2
59,15,13,19,19,31.0,0.0,0,96,0,20,N,12,2
60,16,13,18,18,26.0,0.0,0,96,0,20,NE,21,2
61,17,13,18,18,21.0,0.0,0,98,0,20,N,16,2
62,18,13,18,18,23.0,0.0,0,100,0,20,NE,14,2
63,19,13,18,18,30.0,0.0,0,100,0,20,NE,16,2
64,20,13,17,17,15.0,0.0,0,100,0,20,NE,18,2
65,21,2,17,17,26.0,0.0,0,100,0,25,N,11,2
66,22,2,19,19,22.0,0.0,0,96,0,25,NE,17,2
67,23,8,22,22,26.0,0.0,0,86,0,25,E,13,2
68,24,8,24,24,27.0,0.0,0,78,0,25,SE,18,2
69,25,2,25,25,28.0,0.0,0,55,0,25,NE,6,2
70,26,1,26,26,36.0,0.0,0,53,0,25,N,14,2
71,27,9,28,29,24.0,0.1,0,51,0,50,N,19,2
72,28,9,28,29,19.0,0.1,0,52,0,50,NE,14,2
73,29,7,29,29,18.0,0.1,0,48,0,50,NE,10,2
74,30,9,30,31,15.0,0.1,0,52,0,50,NE,10,2
75,31,7,27,28,16.0,0.1,0,62,0,50,NE,9,2
76,32,7,23,23,16.0,0.1,0,73,0,50,NE,11,2
