,indice_fecha,indice_estado_cielo,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),prob._de_nieve_(%),prob._de_tormenta_(%),dirección_viento,velocidad_del_viento,indice_municipio
0,1,1,21,21,25.0,0.0,0,69,0,75,S,7,1
1,2,1,24,24,29.0,0.0,0,57,0,75,SE,12,1
2,3,2,23,23,33.0,0.0,0,59,0,80,S,14,1
3,4,1,23,23,35.0,0.0,0,55,0,80,S,17,1
4,5,1,21,21,34.0,0.0,0,65,0,80,S,20,1
5,6,3,21,21,35.0,0.1,0,59,0,80,S,17,1
6,7,4,20,20,19.0,0.0,0,65,0,80,S,20,1
7,8,4,19,19,27.0,0.0,0,60,0,80,S,9,1
8,9,4,19,19,7.0,0.0,0,46,0,45,S,11,1
9,10,1,18,18,9.0,0.0,0,52,0,45,NE,4,1
10,11,1,17,17,10.0,0.0,0,58,0,45,NO,5,1
11,12,5,16,16,9.0,0.0,0,65,0,45,NO,7,1
12,13,6,15,15,6.0,0.0,0,70,0,45,NO,4,1
13,14,7,15,15,13.0,0.1,0,75,0,45,S,4,1
14,15,1,14,14,13.0,0.0,0,90,0,15,N,6,1
15,16,5,14,14,13.0,0.0,0,100,0,15,N,8,1
16,17,6,14,14,9.0,0.0,0,100,0,15,N,8,1
17,18,8,13,13,6.0,0.0,0,100,0,15,N,5,1
18,19,8,13,13,6.0,0.0,0,100,0,15,N,4,1
19,20,2,13,13,6.0,0.0,0,100,0,15,NE,4,1
20,21,6,12,12,8.0,0.0,0,100,0,70,N,2,1
21,22,6,15,15,17.0,0.0,0,100,0,70,NO,5,1
22,23,8,17,17,22.0,0.0,0,90,0,70,SE,7,1
23,24,9,19,19,35.0,1.0,0,77,0,70,S,11,1
24,25,10,21,21,30.0,20.0,0,74,0,70,SE,16,1
25,26,10,23,23,14.0,3.0,0,59,0,70,E,10,1
26,27,7,24,24,15.0,0.1,0,47,0,70,NO,9,1
27,28,1,25,25,16.0,0.0,0,44,0,70,SO,7,1
28,29,1,25,25,11.0,0.0,0,50,0,70,SE,8,1
29,30,6,26,26,13.0,0.0,0,47,0,70,S,5,1
30,31,6,25,25,18.0,0.0,0,49,0,70,SE,6,1
31,32,1,24,24,12.0,0.0,0,48,0,70,S,10,1
32,33,4,24,24,5.0,0.0,0,58,0,20,S,6,1
33,34,6,21,21,5.0,0.0,0,69,0,20,NO,3,1
34,35,6,19,19,6.0,0.0,0,77,0,20,NO,3,1
35,36,6,16,16,6.0,0.0,0,88,0,20,N,4,1
36,37,2,16,16,5.0,0.0,0,88,0,20,O,3,1
37,38,4,16,16,7.0,0.0,0,92,0,20,O,2,1
38,39,5,16,16,3.0,0.0,0,96,0,0,SO,3,1
39,40,4,15,15,5.0,0.0,0,96,0,0,C,0,1
40,41,6,14,14,3.0,0.0,0,98,0,0,E,3,1
41,42,6,14,14,9.0,0.0,0,97,0,0,NO,1,1
42,43,4,14,14,13.0,0.0,0,93,0,0,NO,6,1
