"id_lugar","id_municipio","id_categoria","nombre","direccion","distancia_al_centro"
1,2,1,Diverjungla,"Calle Segovia, 20 (Pol. Ind. Donada), 28864 Ajalvir Comunidad de Madrid",563.0
2,2,1,Parque Infantil,N/A,1724.0
3,2,1,Chiquitin,Ajalvir Madrid,333.0
4,4,1,Isla Perejil,"28607 El Alamo Comunidad de Madrid",118.0
5,4,1,Parque de Madera,N/A,582.0
6,5,1,Parque O'Donnell,"Calle de Luis de Astrana Marín, 8, 28807 Alcalá de Henares Comunidad de Madrid",593.0
7,5,1,Parque del Louisi,Alcalá de Henares Comunidad de Madrid,326.0
8,5,1,Parque Infantil,"28801 Alcalá de Henares Comunidad de Madrid",392.0
9,5,1,Parque Salvador de Madariaga,Alcalá de Henares Comunidad de Madrid,515.0
10,5,1,Parque de Sementales,"Ronda Fiscal, 28804 Alcalá de Henares Comunidad de Madrid",518.0
11,5,1,Parque del Camarmilla,"28806 Alcalá de Henares Comunidad de Madrid",1531.0
12,5,1,Parque Isla del Colegio,Alcalá de Henares Comunidad de Madrid,600.0
13,5,1,Ermita de San Isidro (Alcalá de Henares),"28805 Alcalá de Henares Comunidad de Madrid",711.0
14,5,1,Parque San Isidro,"28800 Alcalá de Henares Comunidad de Madrid",726.0
15,5,1,Parque el Silo,N/A,768.0
16,5,1,Parque de Sementales,Madrid,792.0
17,5,1,Parque de los Tubos,Alcalá de Henares Comunidad de Madrid,873.0
18,5,1,Parque del Medio,"28803 Alcalá de Henares Comunidad de Madrid",956.0
19,5,1,Parque de la Hera,N/A,967.0
20,5,1,Plaza de la Villa de Talence,"C/ Pablo De Olavide, 28804 Alcalá de Henares Comunidad de Madrid",998.0
21,5,1,Paseo de los Pinos,Alcalá de Henares Comunidad de Madrid,1008.0
22,5,1,Parque Tierno Galvan,Alcalá de Henares Comunidad de Madrid,1048.0
23,5,1,Parque junto a IES Antonio Machado,"C. Villalbilla, 28806 Alcalá de Henares Comunidad de Madrid",1166.0
24,5,1,La Cruz,Valencia,1214.0
25,5,1,Las Boyeras,Alcalá de Henares Comunidad de Madrid,1244.0
26,5,1,Area de Juegos Complutum,Alcalá de Henares Comunidad de Madrid,1272.0
27,5,1,Parque los Gatos,"C/ Alicante, 28804 Alcalá de Henares Comunidad de Madrid",1275.0
28,5,1,Parque de los Nogales,Nogales Comunidad de Madrid,1316.0
29,5,1,Plaza del Barro,Barro,1331.0
30,5,1,Parque junto a CEIP Antonio de Nebrija,"C/ San Ignacio de Loyola, 28806 Alcalá de Henares Comunidad de Madrid",1389.0
31,5,1,Parque de las farolas,N/A,1486.0
32,5,1,Parque Miguel de Unamuno,"Avenida de Miguel de Unamuno, 81, 28805 Alcalá de Henares Comunidad de Madrid",1535.0
33,5,1,Arboreto Reyes Católicos,Alcalá de Henares Comunidad de Madrid,1545.0
34,5,1,Parque Islas Filipinas,"Calle de Santander (Avenida Lope de Figueroa), 28804 Alcalá de Henares Comunidad de Madrid",1567.0
35,5,1,El Jardin del Parnaso,"C/ Bertolt Brecht, 28806 Alcalá de Henares Comunidad de Madrid",1642.0
36,5,1,Parque Infantil,N/A,1803.0
37,5,1,Parque junto a Parking,"C/ Luis Rosales, 28006 Alcalá de Henares Comunidad de Madrid",1810.0
38,5,1,El Mundo de Pik,"Carretera de Daganzo, Km 2, 28806 Alcalá de Henares Comunidad de Madrid",1817.0
39,5,1,Parque junto a IES Doctor Marañón,Marañón,1828.0
40,5,1,Parque de los Cerros,N/A,1867.0
41,5,1,Parque Andalucia,N/A,1880.0
42,5,1,Plaza de la Juventud,Alcalá de Henares Madrid,897.0
